file,parseTime,initTime,allCount,unknownCount,parseUPTime,initUPTime,allUPCount,unknownUPCount
fase-trainbenchmark-30_9.problem,218,448,436,157,217,1075,425,146
fase-trainbenchmark-40_1.problem,94,274,531,161,103,528,522,152
fase-trainbenchmark-40_10.problem,128,365,506,123,140,696,502,119
fase-trainbenchmark-40_11.problem,142,399,571,195,215,1237,560,184
fase-trainbenchmark-40_12.problem,78,245,570,189,93,490,565,184
fase-trainbenchmark-40_13.problem,195,657,597,206,207,1219,588,197
fase-trainbenchmark-40_14.problem,144,423,618,201,178,833,610,193
fase-trainbenchmark-40_15.problem,154,417,560,154,246,1057,547,141
fase-trainbenchmark-40_16.problem,144,374,565,189,135,714,553,177
fase-trainbenchmark-40_17.problem,247,757,565,175,247,1639,559,169
fase-trainbenchmark-40_18.problem,74,236,524,155,82,476,514,145
fase-trainbenchmark-40_19.problem,215,795,522,148,181,1605,513,139
fase-trainbenchmark-40_2.problem,224,664,533,148,257,1326,524,139
fase-trainbenchmark-40_20.problem,252,949,605,183,260,1782,599,177
fase-trainbenchmark-40_21.problem,196,588,554,165,193,1356,545,156
fase-trainbenchmark-40_22.problem,186,476,554,166,235,1176,544,156
fase-trainbenchmark-40_23.problem,135,436,520,141,176,861,511,132
fase-trainbenchmark-40_24.problem,143,678,559,183,158,1001,552,176
fase-trainbenchmark-40_25.problem,139,440,603,218,218,1193,595,210
fase-trainbenchmark-40_26.problem,194,699,616,177,233,1177,600,161
fase-trainbenchmark-40_27.problem,194,769,572,151,301,1596,568,147
fase-trainbenchmark-40_28.problem,139,458,529,152,191,1268,516,139
fase-trainbenchmark-40_29.problem,166,420,524,141,257,1259,517,134
fase-trainbenchmark-40_3.problem,237,484,591,211,169,1156,544,162
fase-trainbenchmark-40_30.problem,276,887,537,159,283,1746,529,151
fase-trainbenchmark-40_4.problem,115,375,610,173,125,848,592,155
fase-trainbenchmark-40_5.problem,217,563,520,146,175,1462,490,114
fase-trainbenchmark-40_6.problem,127,434,532,144,174,874,522,134
fase-trainbenchmark-40_7.problem,241,688,688,256,283,1255,676,244
fase-trainbenchmark-40_8.problem,161,445,519,130,245,1087,514,125
fase-trainbenchmark-40_9.problem,207,585,608,202,225,1142,603,197
fase-trainbenchmark-50_1.problem,145,535,716,230,177,1266,711,225
fase-trainbenchmark-50_10.problem,249,600,915,423,229,1134,847,355
fase-trainbenchmark-50_11.problem,133,394,673,199,185,775,667,193
fase-trainbenchmark-50_12.problem,139,429,771,263,205,868,762,254
fase-trainbenchmark-50_13.problem,257,686,808,245,256,1239,785,222
fase-trainbenchmark-50_14.problem,231,632,751,195,257,1185,744,188
fase-trainbenchmark-50_15.problem,189,679,705,210,242,1017,666,169
fase-trainbenchmark-50_16.problem,237,688,699,202,197,1033,682,185
fase-trainbenchmark-50_17.problem,143,428,738,263,201,929,702,225
